loop,iteration,qd_score,max_fitness,coverage,time
1,1,32060.506,176.37633,12.6953125,2.718149185180664
2,11,45295.45,179.65114,18.066406,0.0005397796630859375
3,21,58909.973,183.00473,23.046875,0.0007503032684326172
4,31,71731.266,183.23718,27.539062,0.0007960796356201172
5,41,83244.18,183.23718,31.445312,0.0006248950958251953
6,51,90847.695,183.23718,33.789062,0.0008440017700195312
7,61,95678.47,183.23718,35.15625,0.0003802776336669922
8,71,99089.96,183.23718,35.9375,0.0010001659393310547
9,81,101161.29,184.70712,36.523438,0.0005009174346923828
10,91,103206.15,185.14471,37.01172,0.0005009174346923828
11,101,105444.72,185.39029,37.695312,0.0004019737243652344
12,111,106627.49,185.552,37.98828,0.0003662109375
13,121,110168.06,186.33072,38.964844,0.0003762245178222656
14,131,111937.66,186.33072,39.55078,0.0007240772247314453
15,141,113022.98,186.33072,39.746094,0.0004227161407470703
16,151,114348.58,186.33072,40.039062,0.00039315223693847656
17,161,115292.51,186.33072,40.234375,0.004782915115356445
18,171,116729.92,187.30518,40.527344,0.0008420944213867188
19,181,118438.58,187.30518,41.015625,0.000370025634765625
20,191,119514.05,187.30518,41.015625,0.0004830360412597656
21,201,120392.305,187.30518,41.210938,0.0007030963897705078
22,211,122122.8,187.30518,41.69922,0.0003821849822998047
23,221,123038.914,187.30518,41.992188,0.0009469985961914062
24,231,123938.03,187.30518,42.382812,0.0010821819305419922
25,241,125337.484,187.48067,42.871094,0.0012850761413574219
26,251,127090.336,187.48067,43.359375,0.00044608116149902344
27,261,128241.555,187.48067,43.554688,0.0013248920440673828
28,271,131199.86,187.7673,44.433594,0.0029120445251464844
29,281,131970.64,187.7673,44.726562,0.0008409023284912109
30,291,132541.16,187.7673,44.82422,0.007543087005615234
31,301,134110.83,187.7673,45.214844,0.0044612884521484375
32,311,135094.83,187.7673,45.507812,0.0004222393035888672
33,321,135419.81,187.98294,45.507812,0.0009799003601074219
34,331,136187.58,188.28636,45.60547,0.00063323974609375
35,341,136693.89,194.19788,45.703125,0.0011658668518066406
36,351,137322.11,206.564,45.80078,0.0005309581756591797
37,361,139049.77,206.564,46.289062,0.00040411949157714844
38,371,139538.42,206.564,46.289062,0.00044608116149902344
39,381,140700.72,206.564,46.484375,0.0003998279571533203
40,391,142193.8,206.65155,46.777344,0.00646519660949707
41,401,142977.27,207.40442,46.777344,0.0004630088806152344
42,411,144626.77,207.69063,47.265625,0.0008683204650878906
43,421,145858.72,208.27972,47.558594,0.0004169940948486328
44,431,146395.86,208.61452,47.65625,0.00039696693420410156
45,441,147025.27,208.70613,47.851562,0.00036597251892089844
46,451,147499.53,208.70613,47.851562,0.0005350112915039062
47,461,148199.88,208.86539,47.94922,0.0009031295776367188
48,471,149195.45,208.86539,48.046875,0.00045013427734375
49,481,149895.52,208.99258,48.242188,0.0004489421844482422
50,491,151161.05,208.99258,48.4375,0.0004229545593261719
51,501,152552.42,210.80386,48.73047,0.013092041015625
52,511,153225.8,210.80386,48.828125,0.0004942417144775391
53,521,153741.2,210.80386,48.92578,0.002341747283935547
54,531,154792.06,210.80386,49.121094,0.0005059242248535156
55,541,155516.34,210.81335,49.316406,0.0009310245513916016
56,551,155934.75,210.81335,49.414062,0.00045299530029296875
57,561,156500.62,210.81718,49.414062,0.0009739398956298828
58,571,156695.44,210.81718,49.414062,0.0006210803985595703
59,581,157578.4,210.81718,49.609375,0.007543802261352539
60,591,158363.92,210.92462,49.804688,0.00042510032653808594
61,601,158909.72,211.97475,49.804688,0.0008151531219482422
62,611,159549.52,211.97475,49.902344,0.00048732757568359375
63,621,159718.73,211.97475,49.902344,0.0004451274871826172
64,631,159934.72,211.97475,49.902344,0.0011589527130126953
65,641,160751.1,211.97475,50.097656,0.0005650520324707031
66,651,161806.56,212.90894,50.390625,0.003301858901977539
67,661,162685.23,212.90894,50.585938,0.0004951953887939453
68,671,162816.45,212.90894,50.585938,0.0010480880737304688
69,681,163265.69,212.90894,50.683594,0.0005130767822265625
70,691,164080.08,212.90894,50.976562,0.0043430328369140625
71,701,164329.25,212.90894,51.07422,0.0006580352783203125
72,711,164743.4,212.90894,51.171875,0.001085042953491211
73,721,165201.03,212.90894,51.367188,0.00039315223693847656
74,731,166005.77,212.90894,51.5625,0.0003612041473388672
75,741,166141.2,212.90894,51.5625,0.0004439353942871094
76,751,166229.89,212.90894,51.5625,0.00244903564453125
77,761,166651.78,212.90894,51.660156,0.0004909038543701172
78,771,167696.75,213.07233,51.953125,0.0005533695220947266
79,781,167783.92,213.07233,51.953125,0.0009148120880126953
80,791,168171.52,213.07233,52.05078,0.0004150867462158203
81,801,168410.98,213.07233,52.148438,0.0005121231079101562
82,811,168454.39,213.07233,52.148438,0.003175973892211914
83,821,168802.06,213.07233,52.246094,0.0005161762237548828
84,831,169330.22,213.07233,52.34375,0.0006232261657714844
85,841,169809.03,213.07233,52.441406,0.0004608631134033203
86,851,169875.4,213.07233,52.441406,0.0004532337188720703
87,861,170088.6,213.07233,52.441406,0.0009605884552001953
88,871,170350.98,213.07233,52.441406,0.0004611015319824219
89,881,170777.64,213.1034,52.539062,0.0006358623504638672
90,891,171497.39,213.1034,52.734375,0.0009658336639404297
91,901,171879.02,213.2977,52.83203,0.0004591941833496094
92,911,172204.9,213.2977,52.929688,0.00040984153747558594
93,921,172235.83,213.2977,52.929688,0.00041794776916503906
94,931,172482.66,213.54399,53.027344,0.0048792362213134766
95,941,172717.81,213.54399,53.125,0.0004279613494873047
96,951,173103.11,213.54399,53.222656,0.0005376338958740234
97,961,173171.12,213.54399,53.222656,0.0029349327087402344
98,971,173308.2,213.54399,53.222656,0.0004589557647705078
99,981,173790.03,213.65027,53.320312,0.0007119178771972656
100,991,174158.78,213.65027,53.41797,0.0012340545654296875
